Filters:



"Parcel ID","Address"
="012800063006002000","2323 CREST RD       , Birmingham, AL, 35223"
="012800072001111000","2047 21ST AVE S       , Birmingham, AL, 35209"
="011200294001104000","1512 VIEW DR       , Birmingham, AL, 35235"
="011200311005003000","1011 MARTINWOOD RD       , Birmingham, AL, 35235"
="011200312005060000","948 MARTINWOOD DR N       , Birmingham, AL, 35235"
="011200313008028000","1005 GENE REED RD       , Birmingham, AL, 35235"
="011300243008013000","1600 CARSON RD       , Birmingham, AL, 35215"
="011300351012020000","216 MCCORMICK AVE       , Birmingham, AL, 35215"
="011300363011001000","344 ROBISON DR       , Birmingham, AL, 35215"
="012100241007003000","912 OZARK CT       , Birmingham, AL, 35214"
="012100241010007000","800 OZARK AVE       , Birmingham, AL, 35214"
="012100241017002000","625 OZARK AVE       , Birmingham, AL, 35214"
="012100241017003000","621 OZARK AVE       , Birmingham, AL, 35214"
="012100364009006000","2322 AVENUE D       , Birmingham, AL, 35218"
="012100364016003000","2517 AVENUE B       , Birmingham, AL, 35218"
="012100364016005000","2525 AVENUE B       , Birmingham, AL, 35218"
="012200132020008000","3429 31ST ST N       , Birmingham, AL, 35207"
="012200132022014000","3364 31ST ST N       , Birmingham, AL, 35207"
="012200133001026000","3039 33RD CT N       , Birmingham, AL, 35207"
="012200134005014000","3324 33RD ST N       , Birmingham, AL, 35207"
="012200134012005000","3209 32ND PL N       , Birmingham, AL, 35207"
="012200134021009000","3172 31ST AVE N       , Birmingham, AL, 35207"
="012200134022018000","3133 31ST AVE N       , Birmingham, AL, 35207"
="012200134032008000","3324 28TH AVE N       , Birmingham, AL, 35207"
="012200134038002000","3417 28TH AVE N       , Birmingham, AL, 35207"
="012200141016011000","2712 35TH AVE N       , Birmingham, AL, 35207"
="012200141017002000","3621 26TH ST N       , Birmingham, AL, 35207"
="012200141017003000","3615 26TH ST N       , Birmingham, AL, 35207"
="012200141017009000","3532 27TH ST N       , Birmingham, AL, 35207"
="012200141024002000","2704 27TH ST N       , Birmingham, AL, 35207"
="012200142011006000","2420 39TH AVE N       , Birmingham, AL, 35207"
="012200143002010000","3604 24TH ST N       , Birmingham, AL, 35207"
="012200143007011000","2116 35TH AVE N       , Birmingham, AL, 35207"
="012200143008005000","2213 36TH AVE N       , Birmingham, AL, 35207"
="012200143009011000","2312 35TH AVE N       , Birmingham, AL, 35207"
="012200143021009000","3315 23RD ST N       , Birmingham, AL, 35207"
="012200143023001000","2225 33RD AVE N       , Birmingham, AL, 35207"
="012200143023002000","2219 33RD AVE N       , Birmingham, AL, 35207"
="012200143023014000","3212 23RD ST N       , Birmingham, AL, 35207"
="012200143025002000","2023 33RD AVE N       , Birmingham, AL, 35207"
="012200143025006000","2001 33RD AVE N       , Birmingham, AL, 35207"
="012200143027006000","3118 20TH ST N       , Birmingham, AL, 35207"
="012200143030004000","2219 32ND AVE N       , Birmingham, AL, 35207"
="012200144007001000","2821 34TH AVE N       , Birmingham, AL, 35207"
="012200144007003000","2813 34TH AVE N       , Birmingham, AL, 35207"
="012200144007004000","2809 34TH AVE N       , Birmingham, AL, 35207"
="012200144008002000","2815 33RD AVE N       , Birmingham, AL, 35207"
="012200144008003000","2811 33RD AVE N       , Birmingham, AL, 35207"
="012200144009010000","2818 31ST AVE N       , Birmingham, AL, 35207"
="012200144009011000","2820 31ST AVE N       , Birmingham, AL, 35207"
="012200144019001000","3324 28TH ST N       , Birmingham, AL, 35207"
="012200144019004000","2713 34TH AVE N       , Birmingham, AL, 35207"
="012200144025001000","2631 32ND AVE N       , Birmingham, AL, 35207"
="012200144040005000","2400 34TH AVE N       , Birmingham, AL, 35207"
="012200144042015000","2420 32ND AVE N       , Birmingham, AL, 35207"
="012200144043012000","2412 31ST AVE N       , Birmingham, AL, 35207"
="012200144043013000","2416 31ST AVE N       , Birmingham, AL, 35207"
="012200144046002000","2325 30TH AVE N       , Birmingham, AL, 35207"
="012200144046003000","2323 30TH AVE N       , Birmingham, AL, 35207"
="012200144048005000","2326 31ST AVE N       , Birmingham, AL, 35207"
="012200151005027000","36 40TH CT N       , Birmingham, AL, 35207"
="012200151005043000","4044 3RD ST N       , Birmingham, AL, 35207"
="012200151005045000","300 40TH CT N       , Birmingham, AL, 35207"
="012200151005047000","308 40TH CT N       , Birmingham, AL, 35207"
="012200151005049000","4046 CHURCH ST N       , Birmingham, AL, 35207"
="012200153001020000","3836 2ND PL W       , Birmingham, AL, 35207"
="012200153023011000","3612 2ND ST W       , Birmingham, AL, 35207"
="012200154011018000","3734 1ST PL W       , Birmingham, AL, 35207"
="012200154012004000","3737 1ST PL W       , Birmingham, AL, 35207"
="012200154012005000","3735 1ST PL W       , Birmingham, AL, 35207"
="012200154016003000","1713 37TH AVE N       , Birmingham, AL, 35207"
="012200154027004000","1621 35TH AVE N       , Birmingham, AL, 35207"
="012200192010005000","817 LANETT AVE       , Birmingham, AL, 35214"
="012200192010006000","713 LANETT AVE       , Birmingham, AL, 35214"
